accuracy,precision,recall,f1-score
93.83259911894272,73.07692307692307,73.07692307692307,73.07692307692307
95.59471365638767,76.66666666666667,88.46153846153845,82.14285714285715
97.3568281938326,88.46153846153845,88.46153846153845,88.46153846153845
96.91629955947137,82.75862068965517,92.3076923076923,87.27272727272727
96.0352422907489,81.48148148148148,84.61538461538461,83.0188679245283
95.59471365638767,80.76923076923077,80.76923076923077,80.76923076923077
95.59471365638767,90.0,69.23076923076923,78.26086956521738
96.47577092511013,84.61538461538461,84.61538461538461,84.61538461538461
97.3568281938326,85.71428571428571,92.3076923076923,88.8888888888889
98.23788546255507,92.3076923076923,92.3076923076923,92.3076923076923
96.91629955947137,80.64516129032258,96.15384615384616,87.71929824561403
96.47577092511013,80.0,92.3076923076923,85.71428571428571
97.3568281938326,91.66666666666666,84.61538461538461,87.99999999999999
96.47577092511013,78.125,96.15384615384616,86.20689655172413
97.3568281938326,85.71428571428571,92.3076923076923,88.8888888888889
96.91629955947137,85.18518518518519,88.46153846153845,86.79245283018868
95.15418502202643,74.19354838709677,88.46153846153845,80.70175438596492
96.47577092511013,84.61538461538461,84.61538461538461,84.61538461538461
95.59471365638767,75.0,92.3076923076923,82.75862068965517
93.83259911894272,68.75,84.61538461538461,75.86206896551724
94.27312775330397,70.96774193548387,84.61538461538461,77.19298245614036
94.7136563876652,76.92307692307693,76.92307692307693,76.92307692307693
96.47577092511013,82.14285714285714,88.46153846153845,85.18518518518519
96.91629955947137,91.30434782608695,80.76923076923077,85.71428571428572
96.0352422907489,81.48148148148148,84.61538461538461,83.0188679245283
95.15418502202643,72.72727272727273,92.3076923076923,81.35593220338984
96.0352422907489,90.47619047619048,73.07692307692307,80.85106382978722
97.3568281938326,91.66666666666666,84.61538461538461,87.99999999999999
95.15418502202643,80.0,76.92307692307693,78.43137254901961
96.91629955947137,80.64516129032258,96.15384615384616,87.71929824561403
