accuracy,precision,recall,f1-score
96.91629955947137,88.0,84.61538461538461,86.27450980392156
96.47577092511013,87.5,80.76923076923077,84.00000000000001
88.54625550660793,0.0,0.0,0.0
88.54625550660793,0.0,0.0,0.0
88.54625550660793,0.0,0.0,0.0
96.47577092511013,95.0,73.07692307692307,82.60869565217392
97.3568281938326,85.71428571428571,92.3076923076923,88.8888888888889
95.59471365638767,80.76923076923077,80.76923076923077,80.76923076923077
96.0352422907489,86.95652173913044,76.92307692307693,81.63265306122449
97.3568281938326,88.46153846153845,88.46153846153845,88.46153846153845
98.23788546255507,89.28571428571429,96.15384615384616,92.5925925925926
96.0352422907489,79.3103448275862,88.46153846153845,83.63636363636363
96.91629955947137,91.30434782608695,80.76923076923077,85.71428571428572
96.91629955947137,85.18518518518519,88.46153846153845,86.79245283018868
95.15418502202643,77.77777777777779,80.76923076923077,79.24528301886792
97.3568281938326,85.71428571428571,92.3076923076923,88.8888888888889
97.79735682819384,95.65217391304348,84.61538461538461,89.79591836734696
95.59471365638767,80.76923076923077,80.76923076923077,80.76923076923077
95.15418502202643,75.86206896551724,84.61538461538461,80.0
93.3920704845815,72.0,69.23076923076923,70.58823529411765
88.54625550660793,0.0,0.0,0.0
96.47577092511013,84.61538461538461,84.61538461538461,84.61538461538461
96.91629955947137,91.30434782608695,80.76923076923077,85.71428571428572
95.59471365638767,83.33333333333334,76.92307692307693,80.0
96.47577092511013,82.14285714285714,88.46153846153845,85.18518518518519
97.3568281938326,88.46153846153845,88.46153846153845,88.46153846153845
97.79735682819384,86.20689655172413,96.15384615384616,90.9090909090909
88.54625550660793,0.0,0.0,0.0
88.54625550660793,0.0,0.0,0.0
96.47577092511013,84.61538461538461,84.61538461538461,84.61538461538461
