accuracy,precision,recall,f1-score
93.83259911894272,83.33333333333334,57.692307692307686,68.18181818181817
94.7136563876652,73.33333333333333,84.61538461538461,78.57142857142856
96.47577092511013,90.9090909090909,76.92307692307693,83.33333333333333
96.47577092511013,82.14285714285714,88.46153846153845,85.18518518518519
95.59471365638767,83.33333333333334,76.92307692307693,80.0
96.47577092511013,84.61538461538461,84.61538461538461,84.61538461538461
93.83259911894272,77.27272727272727,65.38461538461539,70.83333333333333
94.27312775330397,80.95238095238095,65.38461538461539,72.34042553191489
95.59471365638767,78.57142857142857,84.61538461538461,81.48148148148148
95.15418502202643,94.11764705882352,61.53846153846154,74.4186046511628
93.3920704845815,76.19047619047619,61.53846153846154,68.08510638297872
94.27312775330397,78.26086956521739,69.23076923076923,73.46938775510203
94.7136563876652,81.81818181818183,69.23076923076923,75.00000000000001
96.91629955947137,91.30434782608695,80.76923076923077,85.71428571428572
95.15418502202643,82.6086956521739,73.07692307692307,77.55102040816327
94.27312775330397,70.96774193548387,84.61538461538461,77.19298245614036
95.59471365638767,86.36363636363636,73.07692307692307,79.16666666666666
96.0352422907489,90.47619047619048,73.07692307692307,80.85106382978722
92.95154185022027,69.23076923076923,69.23076923076923,69.23076923076923
94.27312775330397,78.26086956521739,69.23076923076923,73.46938775510203
93.83259911894272,75.0,69.23076923076923,71.99999999999999
92.51101321585902,68.0,65.38461538461539,66.66666666666666
94.7136563876652,75.0,80.76923076923077,77.77777777777779
94.7136563876652,79.16666666666666,73.07692307692307,76.0
96.47577092511013,95.0,73.07692307692307,82.60869565217392
94.7136563876652,76.92307692307693,76.92307692307693,76.92307692307693
96.91629955947137,95.23809523809523,76.92307692307693,85.10638297872339
93.83259911894272,73.07692307692307,73.07692307692307,73.07692307692307
94.7136563876652,85.0,65.38461538461539,73.91304347826087
95.15418502202643,80.0,76.92307692307693,78.43137254901961
