accuracy,precision,recall,f1-score
95.59471365638767,78.57142857142857,84.61538461538461,81.48148148148148
96.47577092511013,80.0,92.3076923076923,85.71428571428571
98.23788546255507,95.83333333333334,88.46153846153845,92.0
97.3568281938326,88.46153846153845,88.46153846153845,88.46153846153845
95.59471365638767,83.33333333333334,76.92307692307693,80.0
95.59471365638767,76.66666666666667,88.46153846153845,82.14285714285715
88.54625550660793,0.0,0.0,0.0
98.23788546255507,95.83333333333334,88.46153846153845,92.0
96.47577092511013,82.14285714285714,88.46153846153845,85.18518518518519
96.47577092511013,84.61538461538461,84.61538461538461,84.61538461538461
97.79735682819384,83.87096774193549,100.0,91.22807017543859
96.0352422907489,81.48148148148148,84.61538461538461,83.0188679245283
97.3568281938326,91.66666666666666,84.61538461538461,87.99999999999999
95.59471365638767,83.33333333333334,76.92307692307693,80.0
97.79735682819384,86.20689655172413,96.15384615384616,90.9090909090909
88.54625550660793,0.0,0.0,0.0
95.59471365638767,75.0,92.3076923076923,82.75862068965517
97.3568281938326,85.71428571428571,92.3076923076923,88.8888888888889
97.3568281938326,85.71428571428571,92.3076923076923,88.8888888888889
93.3920704845815,66.66666666666666,84.61538461538461,74.57627118644068
95.59471365638767,76.66666666666667,88.46153846153845,82.14285714285715
96.0352422907489,79.3103448275862,88.46153846153845,83.63636363636363
96.0352422907489,79.3103448275862,88.46153846153845,83.63636363636363
97.3568281938326,91.66666666666666,84.61538461538461,87.99999999999999
95.15418502202643,77.77777777777779,80.76923076923077,79.24528301886792
95.59471365638767,86.36363636363636,73.07692307692307,79.16666666666666
95.59471365638767,86.36363636363636,73.07692307692307,79.16666666666666
97.3568281938326,95.45454545454545,80.76923076923077,87.5
96.0352422907489,84.0,80.76923076923077,82.35294117647058
96.91629955947137,82.75862068965517,92.3076923076923,87.27272727272727
